Country name,Number of cases,Number of deaths,Region
Israel,"3,049,005","9,013",Asia
Country name,Number of cases,Number of deaths,Region
,,,
United States,"77,150,412","920,829",North America
India,"41,952,712","500,087",Asia
Brazil,"26,099,735","630,001",South America
France,"20,147,341","131,852",Europe
United Kingdom,"17,607,832","157,730",Europe
Russia,"12,452,765","334,039",Europe
Turkey,"11,940,695","88,064",Asia
Italy,"11,348,701","147,734",Europe
Germany,"10,543,318","119,069",Europe
Spain,"10,199,716","94,040",Europe
Argentina,"8,515,285","122,152",South America
Iran,"6,520,707","132,681",Asia
Colombia,"5,930,393","135,043",South America
Poland,"5,083,332","106,306",Europe
Mexico,"5,068,985","308,141",North America
Netherlands,"4,688,119","21,310",Europe
Indonesia,"4,446,694","144,453",Asia
Ukraine,"4,213,675","100,983",Europe
South Africa,"3,616,075","95,545",Africa
Philippines,"3,594,002","54,214",Asia
Peru,"3,308,693","206,406",South America
Belgium,"3,267,656","29,185",Europe
Czech Republic (Czechia),"3,181,709","37,363",Europe
Canada,"3,094,137","34,366",North America
Israel,"3,049,005","9,013",Asia
Japan (+Diamond Princess),"3,008,188","19,052",Asia
Malaysia,"2,887,780","32,000",Asia
Portugal,"2,795,830","20,077",Europe
Australia,"2,677,871","4,073",Australia/Oceania
Thailand,"2,475,632","22,253",Asia
Romania,"2,356,792","60,450",Europe
Switzerland,"2,354,832","12,886",Europe
Vietnam,"2,315,689","38,147",Asia
Sweden,"2,287,785","16,143",Europe
Chile,"2,258,005","39,824",South America
Iraq,"2,240,294","24,476",Asia
Greece,"2,002,206","23,833",Europe
Austria,"1,995,346","14,192",Europe
Bangladesh,"1,844,828","28,524",Asia
Denmark,"1,842,278","3,828",Europe
Serbia,"1,730,486","13,807",Europe
Hungary,"1,616,846","41,741",Europe
Pakistan,"1,448,663","29,420",Asia
Jordan,"1,280,106","13,271",Asia
Georgia,"1,272,371","15,141",Asia
Kazakhstan,"1,260,407","13,320",Asia
Ireland,"1,199,217","6,228",Europe
Morocco,"1,141,708","15,515",Africa
Slovakia,"1,081,929","17,921",Europe
Cuba,"1,049,406","8,420",North America
Bulgaria,"980,402","33,588",Europe
Croatia,"971,464","14,035",Europe
Nepal,"964,119","11,794",Asia
Lebanon,"948,728","9,657",Asia
South Korea,"934,656","6,836",Asia
Tunisia,"930,090","26,496",Africa
Bolivia,"867,071","21,073",South America
United Arab Emirates,"851,537","2,253",Asia
Norway,"849,389","1,467",Europe
Slovenia,"774,584","5,933",Europe
Belarus,"760,845","6,116",Europe
Ecuador,"739,297","34,572",South America
Lithuania,"727,169","7,952",Europe
Panama,"717,171","7,788",North America
Costa Rica,"715,749","7,621",North America
Saudi Arabia,"702,624","8,950",Asia
Guatemala,"702,310","16,446",North America
Uruguay,"700,511","6,579",South America
Azerbaijan,"676,426","8,797",Asia
Sri Lanka,"614,659","15,515",Asia
Paraguay,"598,170","17,476",South America
Kuwait,"564,735","2,503",Asia
Dominican Republic,"558,936","4,315",North America
Myanmar,"536,904","19,310",Asia
State of Palestine,"515,499","4,865",Asia
